report_id,date,house,source_pdf,origin_schema,legacy_row,region,application,metric,fy,value,value_prev,unit,basis,source_page,review_reasons,decision_status,actual_metric,period_scope,decision_reason
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,113,북미,EV,판매대수,2031,791,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,114,북미,EV,판매대수,2032,900,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,115,북미,EV,판매대수,2033,989,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,116,북미,EV,판매대수,2034,1063,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,117,북미,EV,판매대수,2035,1145,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,118,기타,EV,판매대수,2023,66,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,119,기타,EV,판매대수,2024,82,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,120,기타,EV,판매대수,2025,112,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,121,기타,EV,판매대수,2026,165,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,122,기타,EV,판매대수,2027,179,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,123,기타,EV,판매대수,2028,227,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,124,기타,EV,판매대수,2029,305,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,125,기타,EV,판매대수,2030,345,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,126,기타,EV,판매대수,2031,470,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,127,기타,EV,판매대수,2032,592,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,128,기타,EV,판매대수,2033,718,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,129,기타,EV,판매대수,2034,917,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,130,기타,EV,판매대수,2035,1129,,만대,,49,basis 누락,,,,
