report_id,date,house,region,application,metric,fy,value,value_prev,unit,basis,source_page,series_class,series_label,scope_note
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,EV,판매대수,2034,5700,,만대,중국 포함 글로벌 EV 출하량 전체,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,EV,판매대수,2035,6175,,만대,중국 포함 글로벌 EV 출하량 전체,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,유럽,EV,판매대수,2023,319,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,유럽,EV,판매대수,2024,362,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,유럽,EV,판매대수,2025,449,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,유럽,EV,판매대수,2026,535,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,유럽,EV,판매대수,2027,633,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,유럽,EV,판매대수,2028,733,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,유럽,EV,판매대수,2029,801,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,유럽,EV,판매대수,2030,864,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,유럽,EV,판매대수,2031,913,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,유럽,EV,판매대수,2032,986,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,유럽,EV,판매대수,2033,1064,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,유럽,EV,판매대수,2034,1125,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,유럽,EV,판매대수,2035,1170,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,북미,EV,판매대수,2023,160,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,북미,EV,판매대수,2024,205,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,북미,EV,판매대수,2025,230,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,북미,EV,판매대수,2026,329,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,북미,EV,판매대수,2027,404,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,북미,EV,판매대수,2028,497,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,북미,EV,판매대수,2029,598,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,북미,EV,판매대수,2030,727,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,북미,EV,판매대수,2031,791,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,북미,EV,판매대수,2032,900,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,북미,EV,판매대수,2033,989,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,북미,EV,판매대수,2034,1063,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,북미,EV,판매대수,2035,1145,,만대,,49,시장전체,,
