reclassification,decision_reason,house,coverage,report_date,report_title,source_group,source_file,source_ids,page,page_count,candidate_type,markets,applications,geographies,metrics,units,risk_flags,score,latest_reference_ids,unique_application_signals,selection_anchor_date,age_days,freshness
최신 유효,대신증권·삼성SDI의 2026년 최신 ESS/EV 자료,대신증권,삼성SDI,2026-05-06,안정성에 성장성까지!,inbox,대신증권_삼성SDI_안정성에 성장성까지!_20260506.pdf,2026-05-06_대신증권_삼성SDI,1,8,시장·회사,EV|ESS,,북미|미국|유럽|중국,출하량|점유율|YoY|캐파|CAPA,%|GWH,수주·계약,13,2026-05-06_대신증권_삼성SDI,,2026-07-31,86,최근 1년
최신 유효,메리츠증권·LGES의 2026년 최신 ESS/EV 자료,메리츠증권,LGES,2026-07-31,경쟁력 확보 준비 과정,inbox,메리츠증권_LG에너지솔루션_경쟁력 확보 준비 과정_20260731.pdf,2026-07-31_메리츠증권_LGES,1,6,시장·회사,EV|ESS,,북미|미국|유럽|중국,출하량|생산량,%|GWH,수주·계약,14,2026-07-31_메리츠증권_LGES,,2026-07-31,0,최근 1년
최신 유효,버핏연구소·삼성SDI의 2026년 최신 ESS/EV 자료,버핏연구소,삼성SDI,2026-05-21,이차전지 최악 업황 지나고 ESS 쑥쑥,inbox,버핏연구소_삼성SDI_이차전지 최악 업황 지나고 ESS 쑥쑥_20260521.pdf,2026-05-21_버핏연구소_삼성SDI,5,9,시장,EV|ESS,데이터센터|Grid/Utility,글로벌|미국|중국,수요,%,,12,2026-05-21_버핏연구소_삼성SDI,,2026-07-31,71,최근 1년
최신 유효,삼성증권·LGES의 2026년 최신 ESS/EV 자료,삼성증권,LGES,2026-07-30,2Q26 review - ESS 성장통에도 이익 개선세 유효,inbox,삼성증권_LG에너지솔루션_2Q26 review - ESS 성장통에도 이익 개선세 유효_20260730.pdf,2026-07-30_삼성증권_LGES,2,9,시장·회사,EV|ESS,,북미|미국|한국,판매량|출하량,%|GWH,,14,2026-07-30_삼성증권_LGES,,2026-07-31,1,최근 1년
최신 유효,삼성증권·삼성SDI의 2026년 최신 ESS/EV 자료,삼성증권,삼성SDI,2026-07-31,관세 환입 영향 2분기 조기 흑자 전환,inbox,삼성증권_삼성SDI_관세 환입 영향 2분기 조기 흑자 전환_20260731.pdf,2026-07-31_삼성증권_삼성SDI,3,6,시장·회사,EV|ESS,,한국,캐파,%|GWH,,13,2026-07-31_삼성증권_삼성SDI,,2026-07-31,0,최근 1년
최신 유효,상상인증권·SK온의 2026년 최신 ESS/EV 자료,상상인증권,SK온,2026-01-29,"배터리사업 부진, 그러나 개선 준비 중",inbox,"상상인증권_SK이노베이션_배터리사업 부진, 그러나 개선 준비 중_20260129.pdf",2026-01-29_상상인증권_SK온,1,4,시장·회사,EV|ESS,,북미|미국|유럽,판매량|수요|YoY,%|GW,수주·계약,13,2026-01-29_상상인증권_SK온,,2026-07-31,183,최근 1년
최신 유효,상상인증권·삼성SDI의 2026년 최신 ESS/EV 자료,상상인증권,삼성SDI,2026-05-08,xEV 와 ESS 향 매출 동반성장을 기대,inbox,상상인증권_삼성SDI_xEV 와 ESS 향 매출 동반성장을 기대_20260508.pdf,2026-05-08_상상인증권_삼성SDI,1,5,시장,EV|ESS,데이터센터,미국|유럽,생산능력|수요|YoY,%,수주·계약,13,2026-05-08_상상인증권_삼성SDI,,2026-07-31,84,최근 1년
최신 유효,신영증권·LGES의 2026년 최신 ESS/EV 자료,신영증권,LGES,2026-07-31,단기 눈높이는 낮춰도 방향성은 불변,inbox,신영증권_LG에너지솔루션_단기 눈높이는 낮춰도 방향성은 불변_20260731.pdf,2026-07-31_신영증권_LGES,1,5,시장·회사,EV|ESS,,북미|유럽,판매량|CAPA,%|GWH,,14,2026-07-31_신영증권_LGES,,2026-07-31,0,최근 1년
최신 유효,신한투자증권·LGES의 2026년 최신 ESS/EV 자료,신한투자증권,LGES,2026-07-31,늦어진 만큼 선명해진 회복,inbox,신한투자증권_LG에너지솔루션_늦어진 만큼 선명해진 회복_20260731.pdf,2026-07-31_신한투자증권_LGES,1,7,시장,EV|ESS,,글로벌|북미|유럽,생산능력|수요|CAPA,%,수주·계약,13,2026-07-31_신한투자증권_LGES,,2026-07-31,0,최근 1년
최신 유효,유안타증권·LGES의 2026년 최신 ESS/EV 자료,유안타증권,LGES,2026-05-06,불확실성 해소된 현 시점 투자매력도 높음,inbox,유안타증권_LG에너지솔루션_불확실성 해소된 현 시점 투자매력도 높음_20260506.pdf,2026-05-06_유안타증권_LGES,1,3,시장,EV|ESS,BESS,북미|유럽,수요|성장률,%,,13,2026-05-06_유안타증권_LGES,,2026-07-31,86,최근 1년
최신 유효,유안타증권·삼성SDI의 2026년 최신 ESS/EV 자료,유안타증권,삼성SDI,2026-06-24,ESS 전 라인업 중심으로 외형성장 지속,inbox,유안타증권_삼성SDI_ESS 전 라인업 중심으로 외형성장 지속_20260624.pdf,2026-06-24_유안타증권_삼성SDI,1,3,시장,EV|ESS,데이터센터|UPS,북미|미국|유럽,수요|YoY,%,,13,2026-06-24_유안타증권_삼성SDI,,2026-07-31,37,최근 1년
