source_group,source_file,source_ids,page_count,text_extracted_pages,candidate_pages,requires_ocr,error
inbox,유진투자증권_LG에너지솔루션_ESS + 4680이 견인하는 실적_20260506.pdf,2026-05-06_유진투자증권_LGES,11,11,3,N,
inbox,유진투자증권_LG에너지솔루션_ESS가 이끄는 외형 성장_20260731.pdf,2026-07-31_유진투자증권_LGES,12,12,2,N,
inbox,유진투자증권_SK이노베이션_전쟁 수혜 + 배터리 보상금 반영_20260731.pdf,2026-07-31_유진투자증권_SK온,7,7,3,N,
inbox,유진투자증권_SK이노베이션_풀가동으로 전략 전환_20260514.pdf,2026-05-14_유진투자증권_SK온,8,8,2,N,
inbox,"유진투자증권_복합유틸리티_산업재 D(ata)PT - 「나트륨이온배터리, 게임체인저가 될 것인가」_20240520.pdf",2024-05-20_유진투자증권_산업,102,102,3,N,
inbox,유진투자증권_전자장비와기기_2026 연간전망 2026년 희망의 K배터리 밸류체인_20251124.pdf,2025-11-24_유진투자증권_산업,73,73,27,N,
inbox,유진투자증권_전자장비와기기_2H26 OUTLOOK 화려한 배터리 테마주 장세 시작_20260517.pdf,2026-05-17_유진투자증권_산업,101,100,33,N,
inbox,유진투자증권_전자장비와기기_배터리 2024 OUTLOOK TREND SETTER_20231121.pdf,2023-11-21_유진투자증권_산업,71,70,12,N,
inbox,"키움증권_LG에너지솔루션_1Q26 잠정 실적 리뷰 컨센서스 대비 매출은 상회, 영업이익은 하회_20260408.pdf",2026-04-08_키움증권_LGES,3,3,2,N,
inbox,키움증권_LG에너지솔루션_북미 ESS CAPA 역량에 주목할 필요_20260504.pdf,2026-05-04_키움증권_LGES,7,7,3,N,
inbox,"키움증권_LG에너지솔루션_중장기 성장성 확인, 다만 단기 ESS 수익성 우려_20260731.pdf",2026-07-31_키움증권_LGES,8,8,3,N,
inbox,키움증권_LG에너지솔루션_휴머노이드 배터리 공급 확대_20260324.pdf,2026-03-24_키움증권_LGES,4,4,3,N,
inbox,"키움증권_삼성SDI_분기 흑자전환 달성, 실적 개선 속도는 점검 필요_20260731.pdf",2026-07-31_키움증권_삼성SDI,8,8,3,N,
inbox,키움증권_삼성SDI_실적은 최악의 구간을 지나가는 시점_20260528.pdf,2026-05-28_키움증권_삼성SDI,4,4,1,N,
inbox,키움증권_삼성SDI_전고체 전지 모멘텀 기대_20260324.pdf,2026-03-24_키움증권_삼성SDI,4,4,1,N,
inbox,핀릿_삼성SDI_배터리주가 아니라 로봇 심장주로 봐야 하는 이유_20260615.pdf,2026-06-15_핀릿_삼성SDI,3,3,1,N,
inbox,하나증권_LG에너지솔루션_EV 부진 지속_20260408.pdf,2026-04-08_하나증권_LGES,4,4,1,N,
inbox,하나증권_LG에너지솔루션_주가 하방 압력 제한적_20260504.pdf,2026-05-04_하나증권_LGES,4,4,1,N,
inbox,하나증권_LG에너지솔루션_하반기 강한 증익 모멘텀_20260731.pdf,2026-07-31_하나증권_LGES,4,4,1,N,
inbox,하나증권_SK이노베이션_단기 실적 변동성 vs. 중장기 호황_20260514.pdf,2026-05-14_하나증권_SK온,5,5,1,N,
inbox,하나증권_SK이노베이션_더 이상 정유 Up-Cycle에서 소외되지 않는다_20260223.pdf,2026-02-23_하나증권_SK온,5,5,1,N,
inbox,하나증권_SK이노베이션_컨센 124% 상회. 연간 추정치 상향_20260731.pdf,2026-07-31_하나증권_SK온,5,5,1,N,
inbox,"하나증권_삼성SDI_Strong Buy, 하반기에도 흑자 지속 전망_20260731.pdf",2026-07-31_하나증권_삼성SDI,4,4,1,N,
inbox,"하나증권_전자장비와기기_Weekly 이배속  ESS 성장 지속, 기대감 없는 EV의 반등_20260406.pdf",2026-04-06_하나증권_산업,29,29,13,N,
inbox,하나증권_전자장비와기기_배터리 징비록_20250516.pdf,2025-05-16_하나증권_산업,57,56,28,N,
inbox,하나증권_전자장비와기기_배터리 투자자가 준비해야 하는 3가지_20260608.pdf,2026-06-08_하나증권_산업,30,30,13,N,
inbox,하나증권_전자장비와기기_인터배터리가 투자자에게 주는 함의_20260316.pdf,2026-03-16_하나증권_산업,53,52,6,N,
inbox,한화투자증권_LG에너지솔루션_1Q26 잠정실적 코멘트 - EV 부진을 ESS로 빠르게 메우는 중_20260408.pdf,2026-04-08_한화투자증권_LGES,4,4,1,N,
inbox,"한화투자증권_LG에너지솔루션_ESS의 가파른 성장과 46-Series 가세, 확실한 턴어라운드 진입_20260504.pdf",2026-05-04_한화투자증권_LGES,5,5,1,N,
inbox,한화투자증권_LG에너지솔루션_미국 ESS와 유럽 IAA로 회복 가시성 증가_20260324.pdf,2026-03-24_한화투자증권_LGES,3,3,1,N,
inbox,"한화투자증권_SK이노베이션_에너지 안보 시대, 전통에너지 가치 재평가_20260514.pdf",2026-05-14_한화투자증권_SK온,6,6,1,N,
inbox,"한화투자증권_삼성SDI_EV 공백 메우는 ESS, IAA 수혜로 더해지는 기대감_20260324.pdf",2026-03-24_한화투자증권_삼성SDI,3,3,1,N,
inbox,"현대차증권_LG에너지솔루션_아쉬운 1분기. 하지만, 방향성은 유효_20260504.pdf",2026-05-04_현대차증권_LGES,7,7,3,N,
inbox,흥국증권_LG에너지솔루션_ESS 성장 과도기_20260409.pdf,2026-04-09_흥국증권_LGES,5,5,2,N,
inbox,흥국증권_삼성SDI_ESS 생산 체제 안정화_20260408.pdf,2026-04-08_흥국증권_삼성SDI,5,5,2,N,
inbox,흥국증권_전자장비와기기_2025년 미리보기 전열 재정비(ft.4680 배터리 로드맵)_20250203.pdf,2025-02-03_흥국증권_산업,46,46,16,N,
